matriz,linhas,colunas,versao,trabalhadores,repeticao,tempo_ms,objetos,resultado_correto
matriz_5000x5000,5000,5000,sequencial,1,1,299.569,1180391,true
matriz_5000x5000,5000,5000,sequencial,1,2,256.010,1180391,true
matriz_5000x5000,5000,5000,sequencial,1,3,255.842,1180391,true
matriz_5000x5000,5000,5000,sequencial,1,4,259.147,1180391,true
matriz_5000x5000,5000,5000,sequencial,1,5,256.892,1180391,true
matriz_5000x5000,5000,5000,paralela,1,1,293.498,1180391,true
matriz_5000x5000,5000,5000,paralela,1,2,297.238,1180391,true
matriz_5000x5000,5000,5000,paralela,1,3,300.187,1180391,true
matriz_5000x5000,5000,5000,paralela,1,4,292.067,1180391,true
matriz_5000x5000,5000,5000,paralela,1,5,296.202,1180391,true
matriz_5000x5000,5000,5000,paralela,2,1,283.980,1180391,true
matriz_5000x5000,5000,5000,paralela,2,2,284.123,1180391,true
matriz_5000x5000,5000,5000,paralela,2,3,281.621,1180391,true
matriz_5000x5000,5000,5000,paralela,2,4,291.948,1180391,true
matriz_5000x5000,5000,5000,paralela,2,5,288.613,1180391,true
matriz_5000x5000,5000,5000,paralela,4,1,316.779,1180391,true
matriz_5000x5000,5000,5000,paralela,4,2,344.436,1180391,true
matriz_5000x5000,5000,5000,paralela,4,3,398.132,1180391,true
matriz_5000x5000,5000,5000,paralela,4,4,321.325,1180391,true
matriz_5000x5000,5000,5000,paralela,4,5,313.594,1180391,true
matriz_5000x5000,5000,5000,paralela,8,1,369.593,1180391,true
matriz_5000x5000,5000,5000,paralela,8,2,365.309,1180391,true
matriz_5000x5000,5000,5000,paralela,8,3,356.086,1180391,true
matriz_5000x5000,5000,5000,paralela,8,4,354.657,1180391,true
matriz_5000x5000,5000,5000,paralela,8,5,355.876,1180391,true
